cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-3,0.017465626161278336,0.015079834417504436,0.024390243902439025,0.0265210608424337,0.03746928746928747,0.0131436978911231,0.01411470430587815,0.032188841201716736,0.02986857825567503,0.022464375523889354,0.028790786948176585,0.02214386459802539,0.020833333333333332,0.06557377049180328,0.030534351145038167,0.027277686852154936,0.012354394634662902,0.01694915254237288,0.039145154464663566,0.026845637583892617,0.013861386138613862,0.03568320278503046,0.029553850525717535,0.023415977961432508,0.016611295681063124,0.010192525481313703,0.05657395701643489,0.012531328320802004,0.01925925925925926,0.08966565349544073,0.05512489233419466,0.018492462311557788,0.031051517290049402,0.021669106881405564,0.03275109170305677,0.03380281690140845,0.02127659574468085
-2,0.015015015015015015,0.01778783958602846,0.016666666666666666,0.018581081081081082,0.026282051282051282,0.016986062717770034,0.011125296370600037,0.014669926650366748,0.027149321266968326,0.02277281836400073,0.030505243088655862,0.022995461422087745,0.014966740576496674,0.043478260869565216,0.015748031496062992,0.024390243902439025,0.014823717948717948,0.01694915254237288,0.03841676367869616,0.03225806451612903,0.021367521367521368,0.03253588516746411,0.026780459093584463,0.010452961672473868,0.01061320754716981,0.012129380053908356,0.04725168756027001,0.005917159763313609,0.017829457364341085,0.08399366085578447,0.025069637883008356,0.01825047199496539,0.03300561797752809,0.03051948051948052,0.03631961259079903,0.029615004935834157,0.0
-1,0.016419703644373247,0.013403990024937655,0.027607361963190184,0.017120894479385047,0.03571428571428571,0.015379975874547648,0.00961153384060873,0.04047619047619048,0.020361990950226245,0.02395098403267731,0.021852237252861603,0.020849786763544462,0.011419249592169658,0.05504587155963303,0.014492753623188406,0.016304347826086956,0.014764565043894652,0.0,0.03194103194103194,0.02127659574468085,0.012448132780082987,0.02551984877126654,0.03390357698289269,0.014285714285714285,0.012642225031605562,0.01978891820580475,0.04404145077720207,0.019390581717451522,0.021657953696788648,0.09197324414715718,0.023977433004231313,0.01807102332422778,0.03041274438812455,0.029669588671611596,0.0392156862745098,0.02818489289740699,0.0
0,0.01740237691001698,0.01658374792703151,0.026385224274406333,0.024324324324324326,0.030338389731621937,0.017202593621807597,0.01488095238095238,0.027842227378190254,0.021252796420581657,0.019713954387321223,0.026743075453677174,0.029052443384982123,0.014689880304679,0.031496062992125984,0.021739130434782608,0.047754405912450254,0.01637967240655187,0.04838709677419355,0.04213973799126638,0.01910828025477707,0.006048387096774193,0.0395882818685669,0.03067993366500829,0.03142857142857143,0.019187358916478554,0.023088023088023088,0.046534017971758664,0.01634877384196185,0.025502318392581144,0.08012326656394453,0.03962179198559208,0.020993136859103756,0.03744798890429958,0.026241799437675725,0.04128440366972477,0.027566539923954372,0.05263157894736842
1,0.01558846453624318,0.06937348749663888,0.023076923076923078,0.026901669758812616,0.03466509988249119,0.013932702418506835,0.015085833188833015,0.027079303675048357,0.026137463697967087,0.021642619311875694,0.024902723735408562,0.025851622458597012,0.011882998171846435,0.014388489208633094,0.023529411764705882,0.021640664318067437,0.013805309734513275,0.03225806451612903,0.04314973155696958,0.03205128205128205,0.014141414141414142,0.02846441947565543,0.030095759233926128,0.037371134020618556,0.021560574948665298,0.01913265306122449,0.044156608772446274,0.022099447513812154,0.02159827213822894,0.08818897637795275,0.021864686468646866,0.019330143540669857,0.031578947368421054,0.02251978088861838,0.04536082474226804,0.032423208191126277,0.009900990099009901
2,0.011840411840411841,0.0896351136964569,0.011876484560570071,0.03212290502793296,0.028286189683860232,0.016147635524798153,0.012760820831177789,0.013725490196078431,0.02631578947368421,0.024196597353497166,0.025984911986588432,0.023524773294782496,0.011100832562442183,0.0,0.0231023102310231,0.032320308731307285,0.013287904599659284,0.07142857142857142,0.039031224979983986,0.018404907975460124,0.018,0.04711246200607903,0.033571821684094665,0.037889039242219216,0.012684989429175475,0.014332965821389196,0.039968956150562666,0.014634146341463415,0.021116138763197588,0.09419152276295134,0.035430224150397684,0.018658122879758765,0.036414565826330535,0.01817195551939246,0.03464203233256351,0.017699115044247787,0.0
3,0.01834161253343523,0.011068211068211068,0.018229166666666668,0.031072210065645513,0.03814064362336114,0.015585402939685758,0.01457000710732054,0.026030368763557483,0.02328042328042328,0.026176218990590246,0.025080906148867314,0.028802633383623644,0.015002344116268168,0.0,0.007782101167315175,0.027641551493535442,0.017573504562352148,0.039473684210526314,0.040166493236212276,0.023622047244094488,0.030476190476190476,0.03785011355034065,0.03425207385603425,0.025606469002695417,0.016293279022403257,0.017772511848341232,0.04368499257057949,0.0171990171990172,0.019987105093488073,0.09626436781609195,0.028581765557163533,0.020214897104352578,0.032679738562091505,0.025479616306954438,0.030360531309297913,0.02692664809656453,0.025974025974025976
4,0.017241379310344827,0.012018574160065555,0.02586206896551724,0.030869565217391304,0.024539877300613498,0.019204727317493536,0.013347200554688854,0.029411764705882353,0.027001862197392923,0.026567309249959502,0.023688663282571912,0.029692470837751856,0.017452830188679245,0.10344827586206896,0.00816326530612245,0.02309782608695652,0.01914823374050842,0.012658227848101266,0.043478260869565216,0.019230769230769232,0.019569471624266144,0.033632286995515695,0.0904916261480281,0.03183023872679045,0.018518518518518517,0.007398273736128237,0.053953488372093024,0.015748031496062992,0.026214833759590793,0.08595988538681948,0.027377521613832854,0.02103321033210332,0.03618649965205289,0.019236460491269605,0.032692307692307694,0.03173164097914778,0.0
5,0.018213058419243987,0.09558232931726908,0.014962593516209476,0.021918941273779982,0.04142692750287687,0.01713859910581222,0.0133422281521014,0.014893617021276596,0.019097222222222224,0.0233355091383812,0.01936026936026936,0.02939975500204165,0.014187643020594966,0.0,0.03271028037383177,0.023887587822014052,0.014327580592640833,0.04,0.04344422700587084,0.03954802259887006,0.02443609022556391,0.03720626631853786,0.0327319587628866,0.02766798418972332,0.020876826722338204,0.02247191011235955,0.04866180048661801,0.020202020202020204,0.0199501246882793,0.11299435028248588,0.026213248317392846,0.017506252232940337,0.0410958904109589,0.014553014553014554,0.04814814814814815,0.035414725069897485,0.012345679012345678
6,0.014684287812041116,0.01600413009808983,0.02359882005899705,0.021570319240724764,0.0281524926686217,0.017395565355874065,0.012101390024529845,0.03531598513011153,0.02725563909774436,0.02238314680710994,0.0389908256880734,0.024216719113421808,0.01529051987767584,0.04285714285714286,0.022950819672131147,0.019213583556747096,0.009327115256495669,0.011764705882352941,0.03395760444535913,0.03184713375796178,0.0176678445229682,0.042722664735698766,0.032214765100671144,0.037786774628879895,0.017241379310344827,0.009708737864077669,0.0498318557016203,0.014742014742014743,0.014228546020453535,0.0951048951048951,0.02986685858222382,0.018470149253731343,0.048327137546468404,0.018493611297915265,0.048109965635738834,0.030461270670147953,0.058823529411764705
7,0.016783216783216783,0.016732841747022123,0.0169971671388102,0.026248941574936496,0.03872679045092838,0.013323278029160382,0.015660344527579608,0.03441295546558704,0.024280575539568347,0.023356262997920332,0.03800675675675676,0.025477707006369428,0.01498457470251212,0.03571428571428571,0.008695652173913044,0.02751865671641791,0.01824212271973466,0.058823529411764705,0.041700735895339326,0.016042780748663103,0.013944223107569721,0.03093525179856115,0.03722304283604136,0.029077117572692796,0.019487179487179488,0.02283653846153846,0.05113952195664258,0.008645533141210375,0.02065081351689612,0.11126564673157163,0.02723038337513436,0.021513353115727003,0.03556359252561784,0.0178755586112066,0.04678362573099415,0.029264214046822744,0.056179775280898875
8,0.019944979367262722,0.016649590163934427,0.016129032258064516,0.02663115845539281,0.029930518439337254,0.016944959802102658,0.013302294645826405,0.029197080291970802,0.03937007874015748,0.024566473988439308,0.03391107761868877,0.02741642187718562,0.010136624063464082,0.02727272727272727,0.019230769230769232,0.02836004932182491,0.015811552113585026,0.025,0.038135593220338986,0.029069767441860465,0.019966722129783693,0.039638386648122394,0.03054932735426009,0.022339027595269383,0.015212981744421906,0.02491506228765572,0.057713347921225386,0.022113022113022112,0.020630372492836675,0.10189228529839883,0.02712912087912088,0.022843987958207898,0.04184884447220487,0.020379479971890373,0.06140350877192982,0.03460837887067395,0.043478260869565216
9,0.01687921980495124,0.015182481751824817,0.020114942528735632,0.03137428192664605,0.029925187032418952,0.014114954221770091,0.011587685921826357,0.03765690376569038,0.028906955736224028,0.021860701576004067,0.023376623376623377,0.02526002971768202,0.009986684420772303,0.03875968992248062,0.026881720430107527,0.025279533300923675,0.013074204946996466,0.014285714285714285,0.03161970316197032,0.07692307692307693,0.010080645161290322,0.03818443804034582,0.030890369473046637,0.024265644955300127,0.026812313803376366,0.017361111111111112,0.055636896046852125,0.01805869074492099,0.01839080459770115,0.0873015873015873,0.029903880384478464,0.017194416070820565,0.03589108910891089,0.019041142468548114,0.052830188679245285,0.02682701202590194,0.03296703296703297
10,0.014750378214826021,0.013578756789378395,0.015479876160990712,0.027317510076130765,0.032138442521631644,0.016340782122905028,0.012840809146877748,0.04032258064516129,0.028021015761821366,0.024419398907103824,0.03634751773049645,0.02986822840409956,0.013207547169811321,0.050724637681159424,0.018315018315018316,0.023355576739752144,0.01694915254237288,0.029411764705882353,0.04284412032816773,0.05303030303030303,0.015625,0.03461538461538462,0.03044041450777202,0.028169014084507043,0.01646542261251372,0.027989821882951654,0.054620608207853555,0.012755102040816327,0.01818181818181818,0.09337349397590361,0.020702402957486137,0.019439679817038306,0.03833658219623132,0.021237641889417794,0.02982456140350877,0.026508226691042046,0.05319148936170213
11,0.017842660178426603,0.01608139153265507,0.031791907514450865,0.022455805064500716,0.03469812630117974,0.016597510373443983,0.011646373742721016,0.03218390804597701,0.02631578947368421,0.024770821142968597,0.02224199288256228,0.023855267371117515,0.012408347433728144,0.020833333333333332,0.030303030303030304,0.017213555675094135,0.010108573567952079,0.0,0.03500231803430691,0.030303030303030304,0.013953488372093023,0.045346062052505964,0.025799793601651185,0.032857142857142856,0.008997429305912597,0.01756756756756757,0.05443234836702955,0.017341040462427744,0.020025839793281652,0.06176961602671119,0.027203065134099615,0.017514939212858027,0.04225352112676056,0.022407899734143564,0.04642857142857143,0.019271948608137045,0.030927835051546393
12,0.016618196925633568,0.014766483516483516,0.015873015873015872,0.026865671641791045,0.031625553447185324,0.014494813130595424,0.01250240430852087,0.02631578947368421,0.020902090209020903,0.01964939318050472,0.023629489603024575,0.02378656380585021,0.010876132930513595,0.03968253968253968,0.007874015748031496,0.0367965367965368,0.01136842105263158,0.03508771929824561,0.03673373888628919,0.05,0.01818181818181818,0.03739837398373984,0.02303473491773309,0.02148997134670487,0.016238159675236806,0.013398294762484775,0.049924357034795766,0.006006006006006006,0.017498379779650033,0.0749063670411985,0.02611625947767481,0.016758439071103665,0.034074074074074076,0.015270164447924823,0.03130148270181219,0.030508474576271188,0.016129032258064516
13,0.01659062629614268,0.013950323239197007,0.017804154302670624,0.034227567067530065,0.042244224422442245,0.019225332202431437,0.013417815877748788,0.017543859649122806,0.025,0.02095689996045868,0.029922779922779922,0.025969529085872575,0.011091652072387624,0.025210084033613446,0.03754266211604096,0.01881860951385259,0.01300284437220642,0.0,0.04090593944996533,0.05844155844155844,0.021367521367521368,0.03727200634417129,0.034289713086074175,0.032133676092544985,0.0196319018404908,0.01597444089456869,0.05300056085249579,0.020527859237536656,0.018329938900203666,0.05727554179566564,0.02736750651607298,0.016905974988420565,0.05029013539651837,0.018583042973286876,0.027597402597402596,0.031185031185031187,0.014925373134328358
14,0.018434670116429495,0.014107085604360373,0.027472527472527472,0.045658012533572066,0.042438732815301854,0.012340917855765523,0.017957166392092258,0.03189066059225513,0.027972027972027972,0.02491990032039872,0.031862745098039214,0.02597019330087059,0.01083743842364532,0.0625,0.02181818181818182,0.02694136291600634,0.0195822454308094,0.04918032786885246,0.043216289216704756,0.018867924528301886,0.022099447513812154,0.025190839694656488,0.038170563961485555,0.030344827586206897,0.02275189599133261,0.024509803921568627,0.05241338466094166,0.007957559681697613,0.025485436893203883,0.06445993031358885,0.03008649868371568,0.017374136229022705,0.04350314825414997,0.016286644951140065,0.039735099337748346,0.03636363636363636,0.010416666666666666
15,0.016114037806011776,0.01611047180667434,0.02894736842105263,0.03628847037207166,0.032993401319736056,0.016845129276573518,0.014244558258642766,0.03375527426160337,0.021121039805036556,0.022477360931435965,0.03479576399394856,0.027718832891246683,0.008915304606240713,0.03821656050955414,0.028938906752411574,0.021773555027711798,0.014687100893997445,0.07042253521126761,0.042331167552667845,0.03205128205128205,0.024475524475524476,0.04317656129529684,0.028192934782608696,0.025165562913907286,0.02728226652675761,0.01929260450160772,0.05377252252252252,0.02444987775061125,0.020223523150612027,0.06699346405228758,0.028975009054690328,0.018850489743115876,0.043478260869565216,0.016661112962345886,0.04420731707317073,0.022887323943661973,0.010416666666666666
