cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-2,0.5909090909090909,0.6337391304347826,0.3557422969187675,0.4658682634730539,0.7840508115737473,0.5983551527358174,0.5451071959244321,0.8089330024813896,0.47846332945285214,0.6053497040122781,0.7457983193277311,0.8259769023888626,0.4591651542649728,0.5813953488372093,0.7457627118644068,0.7861564434440067,0.3860445912469034,,0.6735395189003437,0.869281045751634,0.5698689956331878,0.32461873638344224,0.5570899292691142,0.7264770240700219,0.5968712394705175,0.6176066024759285,0.7641996557659209,0.39490445859872614,0.485513608428446,0.3559870550161812,0.7145169994603346,0.6368172268907563,0.8127490039840638,0.5777855641205326,0.706766917293233,0.6302021403091558,
-1,0.5992350191245219,0.6155652465615565,0.34276729559748426,0.44234527687296415,0.7920997920997921,0.5939007580978636,0.549338286510332,0.8457831325301205,0.43243243243243246,0.609270040304523,0.7406143344709898,0.8385872256147879,0.4720423778693349,0.6,0.751937984496124,0.7279370432827431,0.3694398682042834,,0.6583531274742677,0.9,0.5565217391304348,0.33771929824561403,0.5713780918727915,0.6958333333333333,0.6151866151866152,0.6305220883534136,0.7773532476554359,0.3704819277108434,0.45690376569037655,0.3634782608695652,0.6868918145392101,0.6431788079470199,0.810970464135021,0.6062043795620438,0.7044444444444444,0.6490066225165563,0.9365079365079365
0,0.5886363636363636,0.6193525435787975,0.3629032258064516,0.43441001977587346,0.7826887661141805,0.6022846836013829,0.5309753483386924,0.8305882352941176,0.4532871972318339,0.6317100792751982,0.7420718816067653,0.8304093567251462,0.4460345855694693,0.6559139784946236,0.7611940298507462,0.7610881135422827,0.39878892733564014,0.3770491803278688,0.6829008176324209,0.8888888888888888,0.5295358649789029,0.3281519861830743,0.5473717343405728,0.7477341389728097,0.63689776733255,0.5735512630014858,0.7866574009728978,0.44510385756676557,0.49559082892416223,0.3073248407643312,0.697961373390558,0.6439096267190569,0.8003220611916264,0.5825703628348593,0.7186761229314421,0.6391509433962265,
1,0.5773935048502742,0.608062015503876,0.3697916666666667,0.4641114982578397,0.7847785402370555,0.5922403381642513,0.5378,0.8133595284872298,0.4622356495468278,0.6075236370951519,0.7644557823129252,0.8330546265328874,0.4565434565434565,0.6060606060606061,0.6296296296296297,0.7755208333333333,0.4015373352855051,0.48214285714285715,0.6838304552590266,0.9006622516556292,0.5464135021097046,0.4214046822742475,0.53184,0.7053206002728513,0.6303418803418803,0.6089238845144357,0.7702616464582004,0.39221556886227543,0.4775510204081633,0.31290322580645163,0.7019568489713999,0.6372997711670481,0.8191489361702128,0.6284098469727212,0.6869747899159664,0.6293393057110862,0.9523809523809523
2,0.5598071708345888,0.6095693779904306,0.3470873786407767,0.46496815286624205,0.7787663107947805,0.586966094231616,0.5332933413317337,0.8410462776659959,0.42611336032388664,0.6009940357852883,0.7687555163283318,0.8296907216494845,0.47279260780287474,0.4883720930232558,0.6007067137809188,0.743161094224924,0.38401420959147425,0.4090909090909091,0.6814836620547542,0.8888888888888888,0.5814432989690722,0.6060869565217392,0.5389105058365758,0.7231222385861561,0.6410537870472008,0.6193853427895981,0.8279749478079332,0.3783783783783784,0.5004248088360238,0.3059210526315789,0.7009936766034327,0.6354657687991021,0.8167072181670721,0.5820718314039774,0.7535885167464115,0.6269925611052072,
3,0.5980668546113572,0.6262886597938144,0.3452054794520548,0.47575757575757577,0.7750798722044728,0.5951481696687972,0.5153473344103393,0.8498896247240618,0.4650655021834061,0.6163376732465351,0.759493670886076,0.8275714285714286,0.4675997926386729,0.30952380952380953,0.5983263598326359,0.7323741007194244,0.3889280677009873,,0.6436157658720792,0.8790322580645161,0.6212424849699398,0.6330434782608696,0.5513178294573643,0.7264833574529667,0.609860664523044,0.6,0.7786573780873971,0.44986449864498645,0.4792592592592593,0.3304093567251462,0.7033407572383074,0.6633186018481317,0.8147036759189797,0.5968379446640316,0.7128712871287128,0.5984162895927602,0.8947368421052632
4,0.5995162404975812,0.5647865853658537,0.32628398791540786,0.4944794952681388,0.7801570306923626,0.5972934472934472,0.5281324820430966,0.8130081300813008,0.4601941747572815,0.6096893924594647,0.7798245614035088,0.8300083125519534,0.4586153045288912,,0.6510638297872341,0.7172576832151301,0.39553540286013256,,0.6295728368017525,0.8675496688741722,0.5711382113821138,0.6342512908777969,0.5580329871716555,0.7060518731988472,0.6487647690655209,0.6102564102564103,0.7791369351002378,0.4415204678362573,0.48807495741056217,0.3613569321533923,0.6999101527403414,0.6613653995345229,0.8098307816277196,0.5994245524296675,0.7094861660079052,0.6391152502910361,
5,0.5955459770114943,0.5432950191570881,0.3994413407821229,0.5025528811086798,0.7768948655256723,0.6082235413348777,0.5174407400269802,0.7956043956043956,0.47506799637352676,0.6282454760031472,0.7860869565217391,0.8263097949886105,0.4533333333333333,0.6344827586206897,0.6634146341463415,0.7257905138339921,0.3936899862825789,0.4492753623188406,0.6408934707903781,0.8461538461538461,0.5787401574803149,0.6544876886417792,0.5584642233856894,0.7264957264957265,0.6447368421052632,0.5859649122807018,0.767032236623463,0.4027777777777778,0.4642570281124498,0.3089311859443631,0.6717284502009826,0.6543441546256333,0.8502949852507374,0.6376199616122841,0.7298850574712644,0.6508120649651972,
6,0.6100460122699386,0.5364620938628158,0.35625,0.452639751552795,0.7975308641975308,0.6045911047345768,0.539865871833085,0.8355899419729207,0.4878048780487805,0.6077603538399678,0.7665615141955836,0.8237394657906013,0.46511627906976744,0.7089552238805971,0.6523297491039427,0.7112970711297071,0.3901156677181914,,0.6465105705842237,0.9144736842105263,0.5875706214689266,0.6040925266903915,0.5729860690490611,0.7384155455904334,0.6415730337078651,0.6150895140664961,0.7817817817817818,0.45179063360881544,0.4399092970521542,0.31140350877192985,0.6827272727272727,0.6392156862745098,0.8072805139186295,0.6246596654998056,0.7137809187279152,0.6454741379310345,
7,0.586924219910847,0.5370650529500757,0.36127167630057805,0.48789712556732223,0.7840646651270208,0.607738886427411,0.5471282769661797,0.8053830227743272,0.4879182156133829,0.6023860747115196,0.7811120917917035,0.830062509085623,0.4682139253279516,0.6923076923076923,0.6682242990654206,0.743424317617866,0.39464411557434814,0.3670886075949367,0.6371639305258149,0.8494623655913979,0.5292887029288703,0.6490467937608319,0.5576988155668359,0.7531556802244039,0.6470588235294118,0.5838587641866331,0.7872793670115642,0.39932885906040266,0.44670846394984326,0.31098430813124106,0.6980108499095841,0.6532990912682735,0.8348623853211009,0.6489444878811571,0.7116564417177914,0.6375908618899273,
8,0.5978955279969936,0.5517629407351838,0.35195530726256985,0.48475120385232745,0.7764436821040595,0.6138541969212896,0.5288350634371396,0.8075471698113208,0.4660493827160494,0.6058765915768854,0.7555031446540881,0.820076313472263,0.508937960042061,0.6632653061224489,0.5532786885245902,0.7355040142729705,0.3813296589734757,,0.6581216499650431,0.8816568047337278,0.5807017543859649,0.634046052631579,0.5549151456932436,0.7231467473524962,0.6344086021505376,0.6148148148148148,0.7869292748433303,0.3867403314917127,0.4556596971881759,0.333843797856049,0.687741935483871,0.6495662014334214,0.8341744772891132,0.6036903329322102,0.7174311926605504,0.6468571428571429,
9,0.6003337505214852,0.5261707988980716,0.36904761904761907,0.4996028594122319,0.7684069611780455,0.6074608535462082,0.5492154065620543,0.8258928571428571,0.47293447293447294,0.6196510178645617,0.7506726457399103,0.8097248280175109,0.45356550580431176,0.5565217391304348,0.6272189349112426,0.7602403058438012,0.3629985228951256,0.515625,0.6310319227913883,0.9285714285714286,0.558695652173913,0.6570931244560487,0.5561385099685204,0.7305475504322767,0.6645502645502646,0.5871794871794872,0.7753246753246753,0.45077720207253885,0.4390070921985816,0.3023255813953488,0.6896707262065854,0.6417606805992232,0.8093550673281361,0.5940321947389086,0.6943907156673114,0.6435406698564593,0.9047619047619048
10,0.5822894168466523,0.5224693599636859,0.3333333333333333,0.47970173985086995,0.7872340425531915,0.6079535756955112,0.531328320802005,0.8398268398268398,0.5082417582417582,0.5977229601518027,0.7539608574091333,0.8119962802231866,0.46258503401360546,0.6065573770491803,,0.7663656884875847,0.4004424778761062,0.3387096774193548,0.6433510638297872,0.8790322580645161,0.556989247311828,0.623574144486692,0.5601614086573734,0.7414860681114551,0.6257242178447276,0.5937940761636107,0.7671321857746022,0.40412979351032446,0.44657762938230383,0.36492890995260663,0.6868495742667928,0.6523965587873822,0.8243865030674846,0.6072195960464117,0.6923076923076923,0.6342592592592593,0.9230769230769231
11,0.5818847209515096,0.5423913043478261,0.32432432432432434,0.4556848701880036,0.7947565543071161,0.5960963601195709,0.5216204869857263,0.8218527315914489,0.5089485458612976,0.6075295275590551,0.7735490009514748,0.8122553191489361,0.44414535666218036,0.6363636363636364,0.6265560165975104,0.7721518987341772,0.39072327044025157,,0.6529106313200328,0.925,0.5772151898734177,0.6633064516129032,0.5418295543393276,0.7421052631578947,0.6652892561983471,0.5857988165680473,0.7742264535872152,0.4064748201438849,0.4591593973037272,0.35602094240837695,0.6864864864864865,0.6449570330167345,0.8063798219584569,0.6022978347326557,0.6977611940298507,0.6464646464646465,
12,0.5892687559354226,0.5239405613648872,0.3601190476190476,0.48015122873345933,0.7833910034602076,0.603060306030603,0.5238987816307404,0.7972350230414746,0.49765258215962443,0.6083028083028083,0.7617148554336989,0.8096227068189685,0.45863570391872277,,,0.7660930528999362,0.37472283813747226,0.3333333333333333,0.6464924346629987,0.8482142857142857,0.56575682382134,0.6455186304128903,0.5571549534292972,0.7274436090225563,0.6422287390029325,0.5893719806763285,0.7789228723404256,0.3923076923076923,0.4455611390284757,0.283495145631068,0.6762430939226519,0.6325727773406766,0.8262748487467588,0.5947712418300654,0.6862068965517242,0.6464339908952959,0.9111111111111111
13,0.6096408317580341,0.5302351623740201,0.32792207792207795,0.5017667844522968,0.7851906158357771,0.6132697947214076,0.5404651162790698,0.8085106382978723,0.4831081081081081,0.5976552756298329,0.7545164718384697,0.807204180664427,0.45807345807345806,0.6739130434782609,0.5521235521235521,0.7717195925704015,0.3764192139737991,,0.6530160486995019,0.8943661971830986,0.5653206650831354,0.6410009624639076,0.5513513513513514,0.7710196779964222,0.6436170212765957,0.6064030131826742,0.7731510254816656,0.5,0.42780269058295967,0.31993299832495814,0.6889692585895117,0.6158326714323538,0.8282111899133175,0.6090438059349976,0.6906354515050167,0.6793557833089312,
14,0.5962805114296784,0.5135566188197768,0.33766233766233766,0.5195989061075661,0.7803867403314917,0.6025663256459164,0.5187873612297181,0.8312342569269522,0.4977973568281938,0.6053184044786564,0.7979981801637852,0.791853752405388,0.4643312101910828,,0.5606694560669456,0.7385113268608414,0.37486725663716813,,0.6532523411794482,0.8857142857142857,0.558091286307054,0.6494360902255639,0.5593789341166596,0.7217741935483871,0.6343283582089553,0.558648111332008,0.7777777777777778,0.40468227424749165,0.429831595829992,0.3193916349809886,0.6932907348242812,0.639344262295082,0.8297872340425532,0.6287238772787905,0.708041958041958,0.6759002770083102,
15,0.6064414768263944,0.5074331020812686,0.38870431893687707,0.5115163147792706,0.7779456193353474,0.6045121480910143,0.5194260485651214,0.8188405797101449,0.5027726432532348,0.596310125192181,0.7765765765765765,0.7804158678660964,0.43437077131258456,,0.6268656716417911,0.6883116883116883,0.38395316804407714,,0.6540991902834008,0.8582089552238806,0.5836734693877551,0.6134371957156767,0.5660377358490566,0.7609649122807017,0.6354430379746835,0.5308151093439364,0.7753646677471637,0.40863787375415284,0.4508320726172466,0.30566037735849055,0.6954845814977973,0.6321585903083701,0.7988422575976846,0.6090794451450189,0.71499176276771,0.6192714453584018,
16,0.6045146726862303,0.49375709421112374,0.3665480427046263,0.5016835016835017,0.7905282331511839,0.5976909413854352,0.5196891191709845,0.8386308068459658,0.47214076246334313,0.600301280441878,0.7740429505135388,0.7835218093699515,0.4550561797752809,,0.625,0.7237569060773481,0.3777154870357393,,0.6465984346779049,0.8055555555555556,0.6059907834101382,0.6526122823098075,0.5539499036608864,0.7891156462585034,0.6264367816091954,0.5098522167487685,0.7824253075571177,0.4708333333333333,0.4259699129057799,0.3510204081632653,0.6922183507549361,0.6229651162790698,0.8041152263374486,0.6290672451193059,0.6974358974358974,0.640117994100295,
