cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-9,0.018518518518518517,0.057692307692307696,,0.34375,0.075,0.08646616541353383,0.025280898876404494,,0.14482758620689656,0.07,0.02127659574468085,0.04790419161676647,,,0.06422018348623854,0.06756756756756757,0.024,0.09090909090909091,,0.0379746835443038,0.047619047619047616,0.04,0.09090909090909091,0.024390243902439025,,0.013888888888888888,0.4642857142857143,0.044444444444444446,0.08163265306122448,0.06666666666666667,,0.05263157894736842,0.03571428571428571
-8,0.015151515151515152,0.02564102564102564,,0.125,0.10714285714285714,0.1111111111111111,0.024242424242424242,,0.1276595744680851,0.09166666666666666,0.02631578947368421,0.01875,0.0196078431372549,,0.046296296296296294,0.031746031746031744,0.05172413793103448,0.08163265306122448,0.6190476190476191,0.05,,0.0625,0.10714285714285714,0.1388888888888889,,0.022727272727272728,0.4807692307692308,0.07894736842105263,0.11483253588516747,0.05442176870748299,0.25,,
-7,0.09090909090909091,,,,,0.092,0.024793388429752067,,0.0872093023255814,0.09433962264150944,,0.011560693641618497,,,0.03225806451612903,0.07407407407407407,0.060240963855421686,0.16666666666666666,0.5,0.075,,0.04395604395604396,0.45454545454545453,0.10526315789473684,0.1,0.06349206349206349,0.5853658536585366,0.018518518518518517,0.07377049180327869,0.072,,,
-6,0.02040816326530612,0.023809523809523808,,0.21052631578947367,0.043478260869565216,0.050473186119873815,0.012658227848101266,0.043478260869565216,0.0975609756097561,0.09302325581395349,0.029411764705882353,0.05527638190954774,0.023255813953488372,,0.018691588785046728,0.10666666666666667,0.018691588785046728,0.08695652173913043,0.6363636363636364,0.031746031746031744,0.03571428571428571,0.037037037037037035,0.16666666666666666,0.06896551724137931,0.15384615384615385,0.012345679012345678,0.7215189873417721,0.061224489795918366,0.10469314079422383,0.04878048780487805,0.16666666666666666,,
-5,0.046153846153846156,0.019230769230769232,,,0.046511627906976744,0.06551724137931035,0.02564102564102564,,0.15135135135135136,0.1686746987951807,0.04878048780487805,0.015384615384615385,0.034482758620689655,,0.038461538461538464,0.10666666666666667,0.07766990291262135,0.20588235294117646,,0.0449438202247191,0.037037037037037035,0.03333333333333333,0.2222222222222222,0.023255813953488372,0.1111111111111111,0.06172839506172839,0.6612903225806451,0.08064516129032258,0.06274509803921569,0.10344827586206896,0.07692307692307693,,
-4,0.016129032258064516,0.023809523809523808,,,0.05555555555555555,0.061224489795918366,0.0391566265060241,,0.11926605504587157,0.09333333333333334,0.05263157894736842,0.04905660377358491,,0.14285714285714285,0.040983606557377046,0.06756756756756757,0.056,0.13333333333333333,0.42857142857142855,0.012345679012345678,,0.020618556701030927,0.09523809523809523,0.06521739130434782,0.14285714285714285,0.042735042735042736,0.6538461538461539,0.04477611940298507,0.09688581314878893,0.07065217391304347,0.125,,0.05263157894736842
-3,0.04477611940298507,0.030303030303030304,,0.3191489361702128,0.03571428571428571,0.046583850931677016,0.020172910662824207,,0.1358695652173913,0.08387096774193549,0.025,0.02631578947368421,,,0.018691588785046728,0.14457831325301204,0.02040816326530612,0.18,,0.024390243902439025,0.06060606060606061,0.02654867256637168,0.25,0.05263157894736842,0.18181818181818182,0.02459016393442623,0.5970149253731343,0.04938271604938271,0.10687022900763359,0.059322033898305086,,,
-2,0.02857142857142857,0.02857142857142857,,0.11428571428571428,0.08333333333333333,0.0705521472392638,0.030726256983240222,0.0625,0.11304347826086956,0.11267605633802817,0.030303030303030304,0.037209302325581395,,,0.04081632653061224,0.15584415584415584,0.051470588235294115,0.02127659574468085,0.3617021276595745,0.034482758620689655,0.30434782608695654,0.019230769230769232,0.34782608695652173,0.10204081632653061,0.125,0.05263157894736842,0.5967741935483871,0.017241379310344827,0.10097719869706841,0.051094890510948905,0.07142857142857142,0.06666666666666667,
-1,0.03225806451612903,,,,0.05357142857142857,0.06725146198830409,0.026829268292682926,,0.19270833333333334,0.10897435897435898,,0.017543859649122806,,,0.039603960396039604,0.07692307692307693,0.023952095808383235,0.06818181818181818,0.5853658536585366,0.03260869565217391,0.03333333333333333,0.04854368932038835,0.34375,0.041666666666666664,0.09090909090909091,0.03260869565217391,0.6612903225806451,0.07142857142857142,0.08201892744479496,0.07194244604316546,0.09090909090909091,,0.058823529411764705
0,0.038461538461538464,0.02,,,0.025,0.08544303797468354,0.03731343283582089,,0.1506849315068493,0.11695906432748537,0.02702702702702703,0.009950248756218905,,,0.05319148936170213,0.11428571428571428,0.02142857142857143,0.18867924528301888,,0.07920792079207921,0.07692307692307693,0.030612244897959183,0.29411764705882354,0.0392156862745098,0.2,0.04,0.7547169811320755,0.0392156862745098,0.0880281690140845,0.05555555555555555,0.08333333333333333,,
1,0.06451612903225806,0.06666666666666667,,,0.0625,0.05187319884726225,0.02763819095477387,,0.12376237623762376,0.10638297872340426,0.02564102564102564,0.05434782608695652,0.017543859649122806,,0.03636363636363636,0.04054054054054054,0.013986013986013986,0.046511627906976744,0.3958333333333333,0.043859649122807015,0.07142857142857142,0.0673076923076923,0.23809523809523808,0.02631578947368421,0.11764705882352941,0.03389830508474576,0.6923076923076923,0.06153846153846154,0.11143695014662756,0.022727272727272728,0.13333333333333333,,0.058823529411764705
2,0.038461538461538464,,,,0.06976744186046512,0.07803468208092486,0.03816793893129771,,0.16666666666666666,0.15527950310559005,,0.06358381502890173,,,0.03787878787878788,0.02564102564102564,0.06711409395973154,0.08695652173913043,,0.047619047619047616,,0.050505050505050504,0.15151515151515152,0.12195121951219512,,0.05405405405405406,0.6,,0.12297734627831715,0.05384615384615385,,,0.034482758620689655
3,0.018867924528301886,0.06896551724137931,,0.1590909090909091,0.06521739130434782,0.10996563573883161,0.017045454545454544,0.047619047619047616,0.19487179487179487,0.07801418439716312,,0.0903954802259887,0.01639344262295082,,0.07777777777777778,0.07692307692307693,0.02877697841726619,0.08771929824561403,,0.0449438202247191,0.12,0.01818181818181818,0.3235294117647059,0.10256410256410256,0.21428571428571427,0.11864406779661017,0.7014925373134329,0.07407407407407407,0.10903426791277258,0.04424778761061947,,,0.03125
4,,,,0.21212121212121213,,0.08235294117647059,0.030303030303030304,,0.18974358974358974,0.1796875,,0.075,0.06060606060606061,,0.06382978723404255,0.04938271604938271,0.05714285714285714,0.11363636363636363,0.3409090909090909,0.07017543859649122,0.043478260869565216,0.047058823529411764,0.16666666666666666,0.15555555555555556,0.1,0.05084745762711865,0.6176470588235294,0.12280701754385964,0.10526315789473684,0.0990990990990991,0.15789473684210525,,
5,,,,,0.13636363636363635,0.10245901639344263,0.046875,,0.2,0.12745098039215685,,0.03910614525139665,0.01818181818181818,,,0.12857142857142856,0.061946902654867256,0.05263157894736842,0.3783783783783784,0.041666666666666664,,0.02197802197802198,0.06060606060606061,0.03333333333333333,0.14285714285714285,0.015873015873015872,0.6875,0.08695652173913043,0.09282700421940929,0.06201550387596899,,,0.10714285714285714
6,0.06521739130434782,0.03225806451612903,0.5,0.25925925925925924,0.07142857142857142,0.0823045267489712,0.05128205128205128,,0.1791907514450867,0.11926605504587157,0.14705882352941177,0.06369426751592357,0.023255813953488372,,0.02531645569620253,0.1111111111111111,0.05982905982905983,0.21621621621621623,0.4318181818181818,0.04716981132075472,,0.011904761904761904,0.16666666666666666,0.1282051282051282,0.14285714285714285,0.04,0.7555555555555555,0.018518518518518517,0.06028368794326241,0.07142857142857142,0.058823529411764705,,0.05
7,0.016666666666666666,0.043478260869565216,,0.25925925925925924,0.047619047619047616,0.1292517006802721,0.025943396226415096,0.08333333333333333,0.1572052401746725,0.14285714285714285,0.125,0.05188679245283019,,,0.018518518518518517,0.14473684210526316,0.04861111111111111,0.03571428571428571,0.6041666666666666,0.05,0.11538461538461539,0.01818181818181818,0.19230769230769232,0.043478260869565216,,0.04,0.5783132530120482,0.01818181818181818,0.08709677419354839,0.075,0.1875,,0.03225806451612903
8,0.05172413793103448,0.05405405405405406,,0.23076923076923078,0.07272727272727272,0.14982578397212543,0.05357142857142857,,0.14893617021276595,0.19083969465648856,0.125,0.05829596412556054,0.016666666666666666,,0.022222222222222223,0.12790697674418605,0.1,0.10256410256410256,0.5483870967741935,0.03636363636363636,,0.05952380952380952,0.3333333333333333,0.0425531914893617,0.07692307692307693,,0.4897959183673469,0.05454545454545454,0.10153846153846154,0.05555555555555555,0.038461538461538464,,
9,0.034482758620689655,0.03225806451612903,,,0.058823529411764705,0.17525773195876287,0.05357142857142857,,0.1308016877637131,0.20634920634920634,0.06060606060606061,0.03587443946188341,,0.2222222222222222,0.05737704918032787,0.06944444444444445,0.032467532467532464,0.17391304347826086,0.5,0.08,,0.031496062992125984,0.3684210526315789,0.10344827586206896,0.14285714285714285,0.01098901098901099,0.5833333333333334,0.06153846153846154,0.08571428571428572,0.061224489795918366,0.17391304347826086,,0.047619047619047616
10,0.08928571428571429,0.023809523809523808,,,0.029411764705882353,0.14785992217898833,0.04066985645933014,,0.1511111111111111,0.17647058823529413,0.07142857142857142,0.022556390977443608,0.018518518518518517,,0.05952380952380952,0.041666666666666664,0.045454545454545456,0.07272727272727272,0.44776119402985076,0.08661417322834646,,0.03125,0.32432432432432434,,,0.10416666666666667,0.6363636363636364,0.09433962264150944,0.13128491620111732,0.06837606837606838,0.08,,0.08695652173913043
11,0.01639344262295082,0.02631578947368421,,,,0.09063444108761329,0.043256997455470736,,0.1542056074766355,0.2196969696969697,0.030303030303030304,0.07482993197278912,,,0.05263157894736842,,0.02857142857142857,0.125,0.5428571428571428,0.040983606557377046,,0.01904761904761905,0.26666666666666666,0.03225806451612903,0.08333333333333333,0.05,0.49019607843137253,0.03571428571428571,0.11209439528023599,0.07142857142857142,0.09090909090909091,0.0625,0.05714285714285714
12,0.013513513513513514,0.0425531914893617,,0.3125,0.11764705882352941,0.09117647058823529,0.04521276595744681,,0.13513513513513514,0.16546762589928057,0.06451612903225806,0.07352941176470588,,,0.044642857142857144,0.01639344262295082,0.07142857142857142,0.11627906976744186,0.4107142857142857,0.07272727272727272,,0.022727272727272728,0.06451612903225806,0.058823529411764705,,0.04195804195804196,,0.037037037037037035,0.08021390374331551,0.07462686567164178,0.1111111111111111,,0.0975609756097561
13,0.06060606060606061,0.030303030303030304,,,,0.1258741258741259,0.05515587529976019,,0.1485148514851485,0.23741007194244604,,0.10160427807486631,,,0.0916030534351145,0.11538461538461539,0.06748466257668712,0.03773584905660377,0.42,0.008064516129032258,,0.02631578947368421,0.2,,,0.034482758620689655,0.6274509803921569,0.08333333333333333,0.09931506849315068,0.07547169811320754,,0.08333333333333333,0.06666666666666667
14,0.01282051282051282,,,,,0.13043478260869565,0.060759493670886074,0.16666666666666666,0.1218274111675127,0.2647058823529412,0.1111111111111111,0.05714285714285714,0.023255813953488372,,0.05982905982905983,0.14516129032258066,0.07086614173228346,0.07142857142857142,,0.035211267605633804,,0.0603448275862069,0.25,0.03636363636363636,,0.018867924528301886,0.4262295081967213,0.0547945205479452,0.10802469135802469,0.07317073170731707,0.047619047619047616,,
15,0.01818181818181818,,,,,0.1608832807570978,0.033766233766233764,,0.2112676056338028,0.2248062015503876,,0.05625,0.022727272727272728,,0.0784313725490196,0.09259259259259259,0.03968253968253968,0.11764705882352941,,0.06315789473684211,,0.031746031746031744,0.1891891891891892,0.07407407407407407,0.2727272727272727,0.027777777777777776,0.40476190476190477,0.09722222222222222,0.11214953271028037,0.07586206896551724,0.05,,
16,0.025974025974025976,0.07142857142857142,0.625,,,0.13257575757575757,0.019553072625698324,,0.1782178217821782,0.18796992481203006,0.03125,0.06622516556291391,0.020833333333333332,,0.05263157894736842,0.09259259259259259,0.06542056074766354,0.12195121951219512,,0.03289473684210526,,0.017543859649122806,0.17391304347826086,0.06521739130434782,0.2857142857142857,0.056074766355140186,0.44,0.07692307692307693,0.06461538461538462,0.06521739130434782,,0.0625,0.02857142857142857
