cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-2,0.03298800436205016,0.020234674329501916,0.011266890572522066,0.025887065435088032,0.013996344806579348,0.023595626702196445,0.0214181392138925,0.0057743388382030265,0.03477443609022557,0.012867952769000499,0.016162550320966165,0.015452380952380954,0.023680282263536436,0.06294894195301882,0.0627626050420168,0.01850414078674948,0.027393559541819754,0.0032825630252100845,0.024185263398207864,0.013253700806354556,0.017308629936616287,0.02061173196894215,0.0030278007156619873,0.0,0.029661771250556294,0.014448600386100387,0.0047026468532531075,0.02677898589729788,0.00972101905811939,0.010828571428571427,0.007334014686955863,0.036930436192638236,0.025818381043692645,0.0062768155092960435,0.04552539886301119,0.017038891028109356,0.020817417876241404,0.02594076185340677,0.005421400492461877,0.011544011544011544,0.029011311269375784,0.016260162601626018
-1,0.027653318398207786,0.017089896795219987,0.011728249784262965,0.020732251042513573,0.011771588379658696,0.025357744107744107,0.02036566540168521,0.005485980272636595,0.014764104256021114,0.016658327078642315,0.016356219211822662,0.011719987329743428,0.027685934709079162,0.06396957901131788,0.05485842985842986,0.023745519713261647,0.02024567788898999,0.004742625795257374,0.016504010320264738,0.023303860379103095,0.012409812409812409,0.019456167588725374,0.00404040404040404,0.03499278499278499,0.02339128876142678,0.010925561472563093,0.004043283980258771,0.034588159588159584,0.015241469254277539,0.012333187486326844,0.01137917933130699,0.05029488859764089,0.0531272210376688,0.006505864988736114,0.044396729550313166,0.019334488599855915,0.007496630727762803,0.030535002845759815,0.0053262812872467225,0.011116700201207242,0.031012129843343318,0.003128258602711157
0,0.03279477627558495,0.020746039020557813,0.014558689717925387,0.02181855873131041,0.012764523125622838,0.02814277702107203,0.020791125166773734,0.0047430830039525695,0.030141287284144426,0.013075722092115534,0.017276986964535543,0.011622435535479014,0.02571407963069821,0.06584889606422899,0.05317809943360604,0.028831562974203338,0.008752971687918738,0.004043947124304267,0.03526067497278336,0.018609618745549873,0.006447406548826428,0.020631574069783606,0.008051658163265306,0.009100274725274724,0.0281681357059704,0.011551295102363987,0.006290819878659285,0.031195223488168274,0.025237678258694017,0.014197326262291459,0.008940139932625032,0.052858924118275745,0.012814480205784552,0.0070570804741110415,0.04451291951291951,0.015631069946226664,0.02337131171487,0.02344586821121117,0.005058578441483437,0.010369220151828848,0.030641897151159777,0.038461538461538464
1,0.0340996983525408,0.019144181426916075,0.011898466419883659,0.020997577887537994,0.015382033784539657,0.025170068027210887,0.022911281275910845,0.002429887617697681,0.03950086058519793,0.00848263833835421,0.015055056715675091,0.011110051497234407,0.027206675845644325,0.06926655719759169,0.055299539170506916,0.017277365491651205,0.008695652173913044,0.004153166421207658,0.017098680008516075,0.01861488117590258,0.022301228183581125,0.023908778813143697,0.004058441558441558,0.018518518518518517,0.03125,0.01160544217687075,0.006140139658078497,0.047671723556679306,0.03688082062356594,0.01690171170201313,0.007876438884822676,0.05207100591715976,0.021415049692380502,0.0061429878447261796,0.05041654949381327,0.019359693528526473,0.008689413265306123,0.02779828025242647,0.00516013858959733,0.015181049292982687,0.033243414788955886,0.0
2,0.031299476312264034,0.018579686209744012,0.014266867696946852,0.0201266017821833,0.014977908689248894,0.022959883926120542,0.020326416878141018,0.012865527722460957,0.014662516382699867,0.017007789194564138,0.018440497796214674,0.01507342215306817,0.027157842157842157,0.08386270385104033,0.06901927437641724,0.031961259079903145,0.01883370535714286,0.003796454801479927,0.01786451270561877,0.01724612000488818,0.021651785714285717,0.016242298434291015,0.0037174721189591076,0.0078031212484994,0.03612322791712105,0.012169109604025377,0.006220182878346144,0.02943454686289698,0.007411594079256068,0.014263074484944533,0.009254658385093168,0.05065077622706602,0.026061357297799813,0.006684020118238772,0.04832356009641328,0.015524583817266744,0.026267815710971164,0.02213459723096287,0.005262160853732977,0.009360096804042992,0.029483334971979157,0.0
3,0.03145758008912806,0.018723303274798292,0.013784461152882206,0.020808179412746937,0.015647606466628924,0.02350799947687345,0.023147407525906966,0.0037907505686125853,0.03511904761904762,0.013435782967032968,0.019790344568232032,0.011544011544011544,0.02661888648353265,0.07306069155261256,0.03994583615436696,0.02380952380952381,0.003790087463556851,0.0021115634684328857,0.0164426383244764,0.010381191372408435,0.019121161978304838,0.017621919423220805,0.012859938495946324,0.010362694300518135,0.027330546166162605,0.015523411869967195,0.007190366553374995,0.03522740290984076,0.005817482800485633,0.01564593942642723,0.00791422006637733,0.042676933158584535,0.026298535732497994,0.004437744182096144,0.042093856012061816,0.015243456645708437,0.013435374149659863,0.02932503276539974,0.005612631123607656,0.013077675748908626,0.027972204038471223,0.0
4,0.03214945867441246,0.019119953317042925,0.01172911787665886,0.021376628219813003,0.01665176575771122,0.022413038722380225,0.0247981643579502,0.003927729772191673,0.02251356238698011,0.008443908323281062,0.020308816595945307,0.015665927866209954,0.02646108694734175,0.07042208943130601,0.07418831168831169,0.015232045631319678,0.00903954802259887,0.0007633139569021197,0.010658357302652605,0.011889479797053609,0.00975699558173785,0.02026946535785762,0.002496532593619972,0.012190934065934066,0.024501412308482413,0.009743237047226043,0.005582747017436525,0.03826121794871795,0.005882965431070387,0.013777421080791866,0.009311427058912502,0.0299056090034489,0.013163415145794,0.008363605643321788,0.040201050208603074,0.014009749415840787,0.02176493866244559,0.02077682872525604,0.00902403414195867,0.007161266568483063,0.028700361010830323,0.00819672131147541
5,0.03140019224607497,0.017923210510419813,0.011904761904761906,0.02152442921048045,0.0192084529408172,0.024661508704061894,0.023779026148694395,0.007653061224489796,0.02811124449779912,0.009572657653398884,0.019309485673607404,0.015514770723104056,0.02747379271020659,0.06530108722175527,0.0472636815920398,0.01825105042016807,0.005917159763313609,0.0025028879476318828,0.01362781954887218,0.01357308584686775,0.01913093635839262,0.016621396760142907,0.009732360097323601,0.01564625850340136,0.04676324958738309,0.01137253720551907,0.0076238374645751,0.0533044352305566,0.004621997920417945,0.013888888888888888,0.0062213235865930475,0.03987309209398045,0.025545030298808946,0.007980025457749926,0.04244002714245799,0.018362637362637362,0.0024691358024691358,0.021955767005271958,0.004871694821887624,0.016413724843286043,0.032455187398153174,0.0
6,0.03606353805556993,0.019309742245522062,0.013942154042825183,0.019046224230758503,0.009542487968883908,0.02334790669993362,0.02254288130133677,0.0009033423667570009,0.025664034458004307,0.002419788492561391,0.025002064011888706,0.020756029684601114,0.027710937908667677,0.05618692473882033,0.08629441624365482,0.028617710583153346,0.011647162729079267,0.0019477466586070255,0.017323659501823543,0.010440668202764977,0.013381078024877497,0.02054030524797998,0.0117096018735363,0.013953488372093023,0.07158934313275149,0.010941467325938795,0.003832854226555014,0.04948934560585046,0.005487738862123098,0.014676181499932679,0.006701775732917602,0.04162763466042155,0.020269766748639985,0.009471323599580113,0.04407003784597146,0.015110108180436805,0.01218487394957983,0.02221687113454324,0.0052142629445785325,0.01046047860768673,0.02656100191754554,0.00847457627118644
7,0.039486380981622,0.024599212010053665,0.012555363711433076,0.027467386655260904,0.017204458785567617,0.023365617433414042,0.022844235089013308,0.0024916943521594683,0.014634146341463415,0.008105661619486504,0.023764146029641553,0.014186162269785963,0.03007948995647465,0.0778466256113941,0.07604237867395762,0.0273972602739726,0.006154156577885392,0.0013404825737265416,0.012065008374170336,0.01171995318179018,0.01863149990613854,0.019904808114415102,0.00437636761487965,0.005235602094240838,0.03495899870522227,0.013794817622568819,0.007501059199630244,0.06105006105006105,0.0077852787456445995,0.011823855755894591,0.006590556182947487,0.045357569551117936,0.025972418670438473,0.007825040128410916,0.047712053571428575,0.017067410905968226,0.023333333333333334,0.02777244266892022,0.0037564388060372946,0.01196788365399182,0.023549856184084374,0.018207282913165267
