cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WY
-9,0.15690643182337535,0.1581044728177949,0.17303529803529805,0.1634924998036598,0.15627760379025135,0.2292822037362911,0.16563404469513596,0.09921066252587991,0.10776138083595295,0.17288732394366196,0.16303636839351124,0.2051378446115288,0.24788246959596685,0.24896069538926682,0.1541005291005291,0.15706349206349207,0.14871407190201288,0.13573261557459287,0.14168618266978922,0.1341716693954278,0.1507173382173382,0.14268207282913165,0.12766031436917513,0.11758104242809471,0.2736989532655167,0.12737155388471177,0.157904984423676,0.11375275733876318,0.2768009768009768,0.1185998520422069,0.14060803474484254,0.20911526784440776,0.1712233840139761,0.24754140786749484,0.09069249284413218,0.1840900039824771,0.18670886075949367
-8,0.16572632944228274,0.16264735060690944,0.15626426289365586,0.27165744025224836,0.1621288150993268,0.23053572652585608,0.16296650958848877,0.10420269802836389,0.09302743407074116,0.17491711874623267,0.1547065623770169,0.20312404974761297,0.2688204045058884,0.2574936224489796,0.12540922619047618,0.13512793176972282,0.1465961550622905,0.1497508423659319,0.12487335359675784,0.13594801987475377,0.18754133597883596,0.14633550788736546,0.13451012588943623,0.1219860381510235,0.26100808913308915,0.1304616828810377,0.1545495725043882,0.10991603326187228,0.24035364145658264,0.12427481213253903,0.1290196718931475,0.2395630674448768,0.16129489603024574,0.237482240249324,0.09017578994214509,0.16574179472585848,0.16644889663182347
-7,0.15553969679474844,0.16095932996854656,0.17287028447742733,0.1690083538195393,0.15671095879429212,0.2260039722908492,0.1625031001984127,0.09505541346973571,0.09526412063888641,0.17451405770064257,0.16343825665859563,0.19385721119894297,0.2383137031408308,0.30153508771929827,0.1632449386940405,0.15159019812304483,0.15253471561727222,0.15555465978716543,0.14965986394557823,0.14071716299812978,0.15554728835978834,0.15891266097634021,0.08584267040149393,0.1257885194307608,0.2776651562127355,0.13322760245188575,0.16207772375966092,0.10793514661439188,0.2242979242979243,0.13135407537248028,0.12961856983596112,0.2237782388197326,0.16334097544456952,0.2261394965660125,0.08441719971570719,0.16153127917833798,0.22747747747747746
-6,0.1546064965563515,0.1557743041815064,0.15384332745443857,0.17033440845764458,0.159535638243942,0.22254342753435313,0.16325103215993048,0.08638705983395362,0.10146448040148827,0.18044685239602168,0.1573775709114055,0.20590652557319225,0.2702087362991618,0.22341568206229862,0.13535502958579881,0.17895433027011975,0.14663418558912927,0.17090945937519486,0.14633580705009275,0.13477614573115115,0.17416735480319295,0.1801711580480699,0.08979618598029299,0.11627145438121049,0.28822432587492824,0.14465709404490726,0.15256389252948885,0.118258655168104,0.24533787503440682,0.1285782535782536,0.13600342685799957,0.20553141819596654,0.17051694367384349,0.22706440128056046,0.08068081343943413,0.159647212543554,0.18995859213250518
-5,0.17969911593329316,0.15965338934129236,0.18845871682006135,0.17603850050658562,0.15434224049331963,0.2361064298677729,0.15982026690457604,0.12000768049155146,0.09999475849778547,0.1748368589008637,0.14401032465748045,0.20600699147478288,0.2517325680272109,0.3009672619047619,0.18136054421768708,0.14380228442728443,0.13741789819376027,0.15004333828628033,0.09831349206349206,0.13408715406856672,0.2028420523138833,0.16363140676117777,0.07523747841105353,0.12346428571428572,0.26678150879917184,0.12977296181630546,0.1574585635359116,0.10675426239860106,0.2112253641816624,0.12267204178968885,0.13817283670224847,0.236345891798328,0.16696994082650715,0.2112434288166506,0.08919967461360365,0.19154294803817604,0.23530505952380953
-4,0.373957008156851,0.16032473595498806,0.18368413195999403,0.1686807324667407,0.14720837947582133,0.21672323263726964,0.15903371213815937,0.10861561119293078,0.08404450159769308,0.19431099670548505,0.1503436939629408,0.19819956897411847,0.24736039418113562,0.3217787114845938,0.12642990156956638,0.17513736263736263,0.14104818497857546,0.14998816805009466,0.14899848828420256,0.15079724392473395,0.17029517286366602,0.1510131712259372,0.07440727345790638,0.11929057337220603,0.26749271137026237,0.13069028672476948,0.1597771573341606,0.14522363978885716,0.2459964950447184,0.11804391844714425,0.12164037394098744,0.20410547396528705,0.15692082465866647,0.2504488784361328,0.10561525495153815,0.18381285169722272,0.20600414078674947
-3,0.1940982776089159,0.1538361528822055,0.1937748783724016,0.18502907290923631,0.15337815766550522,0.2230404403804194,0.1675601530252693,0.08696569178852644,0.08537714878482514,0.173877447056255,0.138066319645267,0.19801942830888383,0.2512840022826707,0.29281874039938555,0.20211309523809526,0.1883918550585217,0.14409553680332562,0.1414993564993565,0.15804334554334554,0.14013032353196286,0.17184823569715657,0.15044436328220112,0.07983574821378678,0.11372198185812678,0.25888723544973546,0.14195357788260696,0.14631158821910267,0.10544081545522468,0.25723595125253895,0.13280497125577376,0.11721546774738263,0.2187044300296676,0.1612903862240952,0.22445730365605956,0.10380065069506063,0.1725175865800866,0.20173745173745175
-2,0.19238482317866615,0.17280485215267824,0.19931334308467416,0.1765044067941642,0.15774534834242387,0.21564181133058247,0.1620439671692519,0.09813988095238095,0.08581796081796082,0.1732744486920386,0.1458839488176223,0.19098637042442915,0.2421939762365294,0.34056956115779646,0.1530952380952381,0.17948945747453207,0.14224104209043967,0.14763301726998096,0.10282738095238095,0.14553026648725956,0.16629695356403432,0.14121366836853871,0.06919249181153943,0.111951918285999,0.2746673230695787,0.14237257402961184,0.1453921568627451,0.10754121468407182,0.2240667623833453,0.13037373344987213,0.12622826908541196,0.2159450250270563,0.15260347486221162,0.23094890341725785,0.10174081798169389,0.1827836529844058,0.2769492412349555
-1,0.20263081086818086,0.14602530170348102,0.21482013858174848,0.1871590582830893,0.1463323353293413,0.2243465320910973,0.17025619666230826,0.0934332568368713,0.10036359077231695,0.1641830129542795,0.14536892777245125,0.197945164743666,0.23211028940195605,0.31867508908325237,0.2405730234677603,0.21646100300585347,0.1482934035504129,0.15183097134581566,0.09906951286261631,0.15160088382565445,0.15828677839851024,0.15390297533154676,0.07295245483763714,0.11740480078803432,0.258561967833491,0.13490267902032607,0.13912085833198207,0.11266191559496727,0.23643340584964948,0.2336133009160343,0.11772770624701956,0.21519489282647178,0.15728761662232932,0.256880807691071,0.0983947681331748,0.18784902020509697,0.2538555194805195
0,0.189510505550968,0.1669167803547067,0.21696214457005825,0.16590155163188872,0.1489764973464746,0.2332180601460807,0.16582797683918654,0.0847237543666115,0.09907472890146157,0.17157595383401833,0.15491478281453427,0.19634056579621098,0.23906184265881364,0.23937389770723103,0.3089795918367347,0.17634957208689925,0.15331287646323447,0.14106952685227445,0.1046626984126984,0.15169331350312945,0.17471042471042472,0.14575999011796678,0.06974878934624698,0.11766068909933507,0.26612850619699935,0.13249414519906325,0.14525285875342245,0.10753134011684373,0.25628867366155506,0.12350830162573503,0.11398726157129518,0.21938258678516095,0.14574852736937888,0.24626529650389672,0.07807616928862758,0.18875347115087934,0.18735827664399093
1,0.19200365902069416,0.16420514338332018,0.1865814226925338,0.16779307664839205,0.1614180154820549,0.22595537870201549,0.16733674333838783,0.09028138528138528,0.09494801264987601,0.17622251559508367,0.13618296954998654,0.20374138153231522,0.263394094129755,0.30195238095238097,0.5963541666666666,0.1729733560090703,0.16697265715209458,0.13424514520713254,0.14188988095238095,0.15805085123054458,0.14606706556968335,0.1495686026936027,0.07128673550436855,0.11799638790084649,0.28056332692195607,0.13453406733684378,0.14798719700420018,0.10684778184778185,0.2120822622107969,0.13748793436293436,0.127733566252588,0.21864733837272352,0.16041873647404942,0.2418412492870246,0.09682978163641147,0.17818718653939494,0.27099867724867727
2,0.18542621770213066,0.15117416829745597,0.19884064737005913,0.17423741150003308,0.15247873829260417,0.22509905348888398,0.17479112880091796,0.10317874540212744,0.10407490334263202,0.1727277441383657,0.14312725915448687,0.19706387446203477,0.38494224422442247,0.34292601338055884,,0.231029810298103,0.14996394413238195,0.1340874507697816,0.1414319248826291,0.14730651566281489,0.1337991718426501,0.1602186162996974,0.06924751243781095,0.1152898372651813,0.256600581799785,0.13637651391741623,0.1335024720270622,0.10611764450616212,0.2448403740728797,0.13517105871474802,0.11070071351015978,0.22333037825059102,0.15443778408224276,0.2540052426176239,0.08424501876222186,0.18322824897794668,0.20928865373309818
3,0.19669280141435105,0.15485804012048965,0.16055402930402932,0.1868441382862293,0.16320381891458308,0.2146725401035746,0.16737094120568696,0.10265786234971125,0.08892515560953393,0.17367207792207792,0.13757147124082608,0.19580105046284205,0.27470408612982433,0.2518037518037518,,0.18555900621118013,0.14631259380543046,0.1372998828582585,0.11124517374517376,0.14575673794327285,0.20150207734100353,0.1494620125277834,0.06531208974817998,0.12072824668426962,0.2508648092744951,0.1369691948944526,0.16020723104056436,0.11224621631598375,0.21546698576337753,0.1327003023431595,0.1122787610619469,0.20890950994662785,0.1882461279013003,0.2506620945479641,0.08448119432530518,0.19695121951219513,0.27666666666666667
4,0.1861170747746702,0.16923692427790787,0.18524798643493007,0.17472086919774918,0.15756206941375275,0.23153278865340018,0.1669662153221894,0.08034379671150972,0.09112035225048924,0.17448747352788688,0.15032107413893753,0.2035792774638221,0.2737431515941399,0.28991022638563624,,0.18897599690282618,0.14659120089018232,0.14307251727728865,0.156687675070028,0.15460130470580782,0.11844308035714286,0.18855515819318255,0.07226915479342663,0.12213027972807311,0.2644288230483739,0.1480338500053265,0.13722175260636799,0.10277573557567125,0.23234072022160665,0.1137406274664562,0.12273845708496164,0.2063614053216223,0.15665621114502093,0.24785979406130268,0.08211799801126947,0.19602878464818763,0.21699134199134198
5,0.21379320637573876,0.16520379338175947,0.16398337112622827,0.17950236966824645,0.1464103742864805,0.22492127258814526,0.16932756015343484,0.12286164465786314,0.08443093549476528,0.17233615986327483,0.16273522395971374,0.20701288755083716,0.26545303476081505,0.22197420634920637,,0.14013169370312226,0.1451086956521739,0.15202821869488536,0.14715066354410616,0.14258256078037157,0.1744469441319835,0.18250111086425239,0.06404074665247848,0.12412550924998329,0.27762681159420294,0.14852502143004936,0.1380603218941208,0.10796279810710772,0.28444424042110417,0.12717309145880573,0.1170418076155781,0.21575796575796577,0.16159282758875465,0.24357822362891834,0.08717567989996874,0.1968248576604555,0.2091269841269841
6,0.19203732985013064,0.15164388540226217,0.1794973544973545,0.16338445660522274,0.1578101644245142,0.213440191940799,0.16597194433328888,0.10209801409352978,0.08789715998822238,0.1722687560528322,0.17030665669409126,0.20359441334739461,0.25175070028011204,0.27950588837685614,,0.1753140232470941,0.159276920995671,0.138365539452496,0.10674603174603176,0.13913803235084898,0.1403654485049834,0.16315529466465187,0.0703458354668032,0.12473275024295433,0.2902518978605935,0.14086248301576768,0.1434860184860185,0.10446086916909621,0.2556976097832129,0.13103035974215013,0.1249498957832291,0.21165692839635855,0.15407528683115035,0.2516823618719353,0.08182322986077252,0.1877437992198425,0.15841013824884792
7,0.19806989513892714,0.17089849253310793,0.18006951102588686,0.18478176452314385,0.15647123481630523,0.22252034372180685,0.1666015792176667,0.09097310799319727,0.07921245421245422,0.1746558275711705,0.13064014115221442,0.20647744120519684,0.24783337992731339,0.2506775067750677,,0.1640233395989975,0.13190753045404208,0.13489241694239662,0.1503623188405797,0.14030016505127124,0.16627223178428,0.15114638447971782,0.06702172096908939,0.1236688682322244,0.3061708860759494,0.14118971102099115,0.16154727197001248,0.09887268756423433,0.2546279381317745,0.12674487674487675,0.12518066331964095,0.22151014877495714,0.15713265306122448,0.24930210666406985,0.09563406907827508,0.1907726976220127,0.21428571428571427
