cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-9,0.19065420560747665,0.14737152982870644,0.21839940164547494,0.2422152148206543,0.2296037296037296,0.1881127450980392,0.16142214957090315,0.30445544554455445,0.17525773195876287,0.2326007326007326,0.22163120567375885,0.2293207800941493,0.2221012520413718,0.16381260096930533,0.19906687402799378,0.3271604938271605,0.2364066193853428,0.2596255740021194,0.25444071051368217,0.1507293354943274,0.19877300613496932,0.2831064851881505,0.39464882943143814,0.28211009174311924,0.19823788546255505,0.33942040492258835,0.25586995785671285,0.24203821656050956,0.26413793103448274,0.18336025848142165,0.3684902682798527,0.22373696872493987,0.20333141872487076,0.43521790341578326,0.24458813606972168,0.17394014962593515,0.2663291139240506,0.2413410301953819,0.3231339823829393,0.33715139442231074,0.22790697674418606
-8,0.1814556331006979,0.15135135135135136,0.2438510189739986,0.23641954219337205,0.21464872944693572,0.1975522582042673,0.16523840914084817,0.2970505617977528,0.21407624633431085,0.23099133782483156,0.225,0.20130813953488372,0.23540489642184556,0.1657885493501932,0.20318021201413428,0.325,0.22535211267605634,0.26359985396129976,0.23756906077348067,0.1517476555839727,0.28063943161634103,0.28201386355344765,0.37422360248447206,0.3308641975308642,0.2122969837587007,0.32118135671435166,0.24552772808586762,0.25318761384335153,0.24448742746615088,0.18547681539807523,0.3520619983393302,0.21122994652406418,0.2035048049745619,0.46080191502094553,0.24227592535943715,0.16778735028367303,0.2903402854006586,0.26053370786516855,0.3207868649318463,0.34975096845600445,0.23036649214659685
-7,0.17627767149494397,0.13367444835305403,0.23418181818181819,0.25107096293536973,0.21826809015421114,0.19518404582581944,0.16494959565747203,0.3226047904191617,0.2572347266881029,0.23455684870188004,0.21606694560669457,0.19021310181531176,0.23527701032426931,0.1690909090909091,0.1854419410745234,0.30538922155688625,0.23123486682808717,0.2593150169363944,0.22655854029396857,0.14846570397111913,0.2450532724505327,0.27190514469453375,0.3929203539823009,0.25790754257907544,0.2347417840375587,0.3267605633802817,0.24313243132431325,0.26798029556650244,0.24754990925589837,0.1875589066918002,0.34689922480620156,0.17232597623089982,0.19919168591224018,0.4514501891551072,0.2257438551099612,0.16342119419042497,0.294478527607362,0.24182333247489055,0.3311142811856079,0.3263574660633484,0.24390243902439024
-6,0.19097134161805732,0.18363215731636784,0.23232876712328768,0.25776774865474744,0.22519599891862666,0.19319792158715163,0.16489143793527242,0.3266078184110971,0.212636695018226,0.24598930481283424,0.22191824911490182,0.18265682656826568,0.23965587873822203,0.17219641672196417,0.18319327731092436,0.24260355029585798,0.24685714285714286,0.25338703771512266,0.2672985781990521,0.1679023113824684,0.29043683589138136,0.27633050982899154,0.36363636363636365,0.3325,0.20217391304347826,0.35804521276595747,0.25291977790541836,0.24751655629139072,0.23622047244094488,0.18628281117696868,0.368713605082054,0.208955223880597,0.20483250961010435,0.4855031267765776,0.22128760918796506,0.1566265060240964,0.2918225547835382,0.26662248729843163,0.33135919455137697,0.33010204081632655,0.21052631578947367
-5,0.20147058823529412,0.18844822997072133,0.23673257023933403,0.2547584187408492,0.22610343893853235,0.1956151956151956,0.1657871154037638,0.315018315018315,0.27488151658767773,0.2418831168831169,0.23325143325143324,0.19613947696139478,0.22664624808575803,0.1773308957952468,0.20567375886524822,0.19428571428571428,0.24612202688728024,0.26601356443104746,0.2528684907325684,0.15861812778603268,0.2813738441215324,0.2799043062200957,0.3954983922829582,0.29292929292929293,0.21852731591448932,0.36214870152970474,0.24389259034928326,0.2840909090909091,0.24954857349223547,0.18333333333333332,0.3794433728299807,0.22001654259718775,0.20394366197183098,0.4597892401552967,0.2038006058936932,0.17628395796153085,0.27411417322834647,0.24557369510232238,0.3336752637749121,0.325199436884092,0.24378109452736318
-4,0.16529235382308846,0.17594064652888183,0.22802197802197802,0.267835015046911,0.22336008856905618,0.19808306709265175,0.16418199419167473,0.32982917214191854,0.2644927536231884,0.23505323505323505,0.2295942720763723,0.2647241165530068,0.23137554030002544,0.17708830548926013,0.18738404452690166,0.21787709497206703,0.22299306243805747,0.26378227494766227,0.2387483926275182,0.14678899082568808,0.32938076416337286,0.28686803424325635,0.38439306358381503,0.30493273542600896,0.20496894409937888,0.36527165932452277,0.2511574074074074,0.2650316455696203,0.24791666666666667,0.1676923076923077,0.3761832061068702,0.2328767123287671,0.19154488517745302,0.467502850627138,0.21484784889821615,0.1799327892462794,0.3041497975708502,0.2126,0.3329987093073283,0.31898340248962653,0.1837837837837838
-3,0.2034176029962547,0.192718313714755,0.2342292923752057,0.25573374719779274,0.2289189189189189,0.18378573360988368,0.17689382259224998,0.3581081081081081,0.24335378323108384,0.24529780564263323,0.21859154929577465,0.27433090024330903,0.24403116360894697,0.1708705013841895,0.1958955223880597,0.17,0.2504708097928437,0.2416011436740529,0.2180327868852459,0.16348577601728484,0.30778894472361806,0.29590190383994835,0.3950617283950617,0.25440806045340053,0.20020746887966806,0.3732620320855615,0.26783909440064685,0.2634228187919463,0.22959844559585493,0.1856091578086672,0.36869747899159666,0.21098726114649682,0.19197994987468672,0.4726670347874103,0.20601503759398496,0.17843026538678713,0.29291417165668665,0.22548596112311015,0.3295124782356355,0.3180229655516725,0.2215909090909091
-2,0.1928031985784096,0.12619669277632725,0.2458040064970222,0.2737023558705229,0.21580122836404245,0.18577609518658733,0.16186082276047675,0.3333333333333333,0.21914893617021278,0.22792452830188678,0.22423812898653436,0.2704819277108434,0.2381568728967124,0.16720314735336195,0.20358306188925082,0.185,0.23399558498896247,0.255805644873169,0.2469703301295445,0.1466275659824047,0.30994152046783624,0.2874113182643128,0.403954802259887,0.27741935483870966,0.18,0.3573166492874522,0.22807336117668423,0.26978146194423513,0.21841609050911376,0.1576,0.38394507525745974,0.23052959501557632,0.20218037661050545,0.4621802002224694,0.19794608472400513,0.17620201267238167,0.30757180156657965,0.22569778633301252,0.32495110366024027,0.3113413304252999,0.17289719626168223
-1,0.19413665743305633,0.2534714050364792,0.26224944320712695,0.251624729211798,0.23377308707124012,0.18168551623495074,0.1585273518833996,0.3303140096618358,0.23366336633663368,0.21875,0.21471514457486401,0.26256613756613756,0.2321882951653944,0.16421856639247945,0.2171945701357466,0.06698564593301436,0.26320582877959925,0.2676005747126437,0.23080099091659786,0.14120202751629254,0.29876543209876544,0.2922935216456862,0.3902439024390244,0.310126582278481,0.1720321931589537,0.35309705200397484,0.2298507462686567,0.2777777777777778,0.2252897068847989,0.1584992343032159,0.37893622651495107,0.20705521472392638,0.17679127725856697,0.4573137574768896,0.19716461013389341,0.1760883690708252,0.296368989205103,0.2179425837320574,0.31786158309158724,0.3208065994500458,0.2
0,0.19318723201524535,0.12847419171866137,0.2617924528301887,0.2649820727334813,0.22752585521081942,0.17964071856287425,0.14958066107548101,0.3306351183063512,0.2570356472795497,0.2468265162200282,0.2151788310555394,0.27976190476190477,0.22085385878489328,0.1720062651288623,0.1947019867549669,0.022857142857142857,0.24,0.25915186661834,0.20528910802330794,0.13817891373801916,0.2993119266055046,0.2859709292830312,0.3723916532905297,0.31291028446389496,0.1765873015873016,0.3769854132901134,0.20962400155854277,0.25690184049079756,0.20452937013446568,0.15777262180974477,0.38483363425328865,0.2001627339300244,0.19260969976905312,0.46372067648663395,0.18814968814968816,0.17637271214642264,0.2775966464834653,0.23346593734460466,0.31374127750939346,0.2959280303030303,0.18691588785046728
1,0.1947732856823766,0.12853907134767836,0.253025302530253,0.2582330588980367,0.22395179512929952,0.18122471496873852,0.1578490055995366,0.3201581027667984,0.25557809330628806,0.26221264367816094,0.21684636118598383,0.27615062761506276,0.21342896005935452,0.15924116125323368,0.21388101983002833,0.0,0.23248730964467004,0.26921701823382194,0.24581223217763926,0.1460486828942981,0.3059299191374663,0.2907103825136612,0.422283356258597,0.3016453382084095,0.2413793103448276,0.3639509279647688,0.21241830065359477,0.24410029498525074,0.2222222222222222,0.1627731725697061,0.37610208816705337,0.20751633986928106,0.20568070519098922,0.4172003659652333,0.18494835218888342,0.16783086523237403,0.2956396741734547,0.2308946877912395,0.3245804006497022,0.31375227686703094,0.22072072072072071
2,0.20359848484848486,0.2047052460789616,0.234375,0.26144907723855093,0.21242004264392325,0.18630358587220275,0.15697101163478605,0.31316725978647686,0.272552783109405,0.2532221379833207,0.2101974151398949,0.2582781456953642,0.2148038688876948,0.1402902557014513,0.19293078055964655,,0.24854368932038834,0.256085018854988,0.2313013402507566,0.1386696730552424,0.29649595687331537,0.3229578132406383,0.4014285714285714,0.3088803088803089,0.23850574712643677,0.3546548448385054,0.21387963144481476,0.2579395817195972,0.24397463002114164,0.13787638668779714,0.3916049382716049,0.20246734397677793,0.20432043204320433,0.4823965410747375,0.18786199949634852,0.16735498404355173,0.2879731672256828,0.2290748898678414,0.3254021900770583,0.3323572474377745,0.2087378640776699
