cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-3,0.12399557784608747,0.13654485049833887,0.15181726400807674,0.13793567125645437,0.13602983362019508,0.13179907155995446,0.1429222317685959,0.06345800122624157,0.07503446813023651,0.15481823644284212,0.12571129080563043,0.18847421441008208,0.24606522509748316,0.25,0.17215088282504012,0.13140676117775354,0.1026378345218925,0.1263392857142857,0.13438256658595643,0.10570552483162678,0.09108341323106424,0.12596092248558616,0.11489776046738072,0.10430241081609383,0.2783844942935852,0.09371216707021791,0.10656188845401174,0.08463896457765667,0.25107411385606876,0.09549118093680645,0.09102257924446375,0.19905530959655796,0.15537318130099015,0.2209285295840656,0.042680533751962325,0.16056842807134522,0.1887697668185473,0.18316326530612245
-2,0.13036409116175654,0.14822609741431148,0.1143522626441881,0.13006737467169122,0.13792667509481668,0.21501411271965765,0.15875145394945542,0.0843520782396088,0.09142224097910952,0.1559845195393619,0.138310302783987,0.18650484355862373,0.24874177313201704,0.1826086956521739,0.112279843444227,0.15438695163104613,0.10568207356356281,0.1123002046346994,0.12832929782082325,0.10474793437911627,0.1511520737327189,0.1207766439909297,0.1282642089093702,0.10341513897102306,0.24776007964161276,0.08476137091607944,0.12714878482513337,0.07106239625036617,0.24566779374471684,0.09895397489539749,0.10386008603124293,0.21109917651271035,0.15382832419068224,0.22350417439703152,0.052142857142857144,0.14122345253222,0.1848512033657118,0.06038961038961038
-1,0.12982507288629738,0.14035051375538615,0.14946183953033268,0.24079623287671234,0.13693048524509197,0.2194248449861022,0.14675912618568554,0.06785714285714285,0.0728110599078341,0.15829929344226099,0.1328311294168654,0.17966578654808224,0.2462286921104239,0.29423328964613366,0.10469387755102041,0.10610766045548654,0.10072870806133294,0.13398385670057497,0.06295399515738499,0.11193313728524996,0.14184397163120568,0.13338611306591602,0.1050708257986739,0.1029169082556532,0.24451530612244896,0.1003173637075037,0.14174219536757302,0.07196765498652291,0.22338741590819153,0.12145193318537553,0.0938246536072623,0.21159916717039423,0.1472344185050332,0.19191311049031884,0.05082787832113978,0.150438946528332,0.19665666019188888,0.21586134453781514
0,0.12035225048923678,0.1433050736354499,0.11715195632393084,0.1534022745813139,0.13342416937427942,0.20388857197185778,0.14868652674339877,0.054524361948955914,0.07309540150995196,0.15732523407432938,0.1350235258784663,0.1741167082076173,0.2383905013192612,0.18644544431946006,0.1358346709470305,0.1607142857142857,0.10547087642896026,0.12647444298820446,0.13018433179723501,0.09893396464292718,0.11305732484076433,0.16018489825431256,0.050867706237424544,0.09704775113929066,0.2686224489795918,0.10470957613814758,0.14615384615384616,0.0774706457925636,0.2144803425457376,0.10671550671550672,0.11104996698217037,0.18928089020389788,0.15098530946864577,0.18393973214285717,0.04011533791987049,0.1357142857142857,0.20181060228969636,0.12444196428571429
1,0.13073300573300572,0.14127282491944146,0.1286963765097876,0.1519391261659303,0.1275243081525804,0.20543718154818671,0.14783908332295428,0.07736943907156674,0.08324432576769025,0.15953073089700998,0.11033471359558317,0.1852336208768432,0.2413377192982456,0.2564234326824255,0.1562784349408553,0.13501400560224092,0.10202558635394457,0.1286092214663643,0.04896313364055299,0.10190782258270208,0.17467948717948717,0.14395363408521303,0.054227156276686596,0.09607093866353127,0.25944700460829495,0.10745040750422881,0.13501413760603204,0.07967881408276714,0.2068863456985004,0.09655364091161757,0.10523059617547806,0.19804926921263555,0.14750218381849517,0.18106034257890616,0.04302763819095477,0.1618099338766723,0.19946656777727065,0.13992172211350296
2,0.3677027692540819,0.13662061411257553,0.15512465373961218,0.16016378841110399,0.11579462354516429,0.20600852721339089,0.1426215686760731,0.08487394957983194,0.07220170088480371,0.15087434495329233,0.11992318559067632,0.1893006092521766,0.24743977843617157,0.25,0.10393258426966293,0.14733616218764733,0.10564353099730459,0.12040007548594074,0.07397959183673469,0.1023195414651621,0.1724364592462752,0.14831599546812238,0.04872577171572147,0.09861303744798891,0.2545911463367485,0.09538394224458543,0.1417476310423414,0.07467805993501023,0.21724738675958188,0.10943483811071139,0.09290199596322046,0.19378163412870572,0.15951742627345844,0.2067883296524468,0.05032012805122049,0.16872958569709473,0.18960240579093038,0.10526315789473684
3,0.15599474495915922,0.13240858587595886,0.15664556962025317,0.1518523906507613,0.13512605042016806,0.2013397841458876,0.14265181458857348,0.06321660985435389,0.06358369280216526,0.16971306034922903,0.10422017536090691,0.1751540576888336,0.2563985374771481,0.33174603174603173,0.11954108068097706,0.17857142857142858,0.09766477520733305,0.11962019276648536,0.07847744360902256,0.11961674433552949,0.13020247469066365,0.13581856100104275,0.05715470267709074,0.11081226465841851,0.2541875240662303,0.09575,0.1420280063874217,0.09478454480028788,0.23824148824148822,0.09778792134831461,0.08020320197044335,0.18554889394252638,0.14752797097066828,0.1766551044878383,0.053614457831325305,0.14832494358618295,0.18699912103820898,0.14912280701754385
4,0.16450063211125157,0.1351782468375561,0.17881438289601553,0.15972254442537,0.13963097124745302,0.20374789620437592,0.14493152054383684,0.0761204481792717,0.06470184227537168,0.16024451939291737,0.12984205417806408,0.18095496999941746,0.232266578686902,0.22413793103448276,0.1651567944250871,0.15043731778425654,0.09492771920964586,0.12359602710479904,0.09629294755877034,0.1091827483486595,0.14652014652014653,0.10661244695898162,0.06057422969187675,0.0728462673813408,0.24322660098522167,0.10894423558897244,0.1198501872659176,0.07192247989086975,0.2282527184101987,0.11611456176673568,0.09506753990994679,0.20629631535611365,0.14906880785100926,0.1877273111731371,0.06259884027411704,0.15764441369768248,0.17857142857142858,0.2591991341991342
5,0.17296064767370364,0.14334574821152002,0.17083712465878073,0.17430340557275542,0.11401617250673855,0.20451141181548146,0.15035036356218953,0.05714285714285714,0.07466645860965905,0.15038104946361827,0.11278453689167975,0.16643502432244614,0.23298040455120103,0.3550556586270872,0.14469808541973492,0.13618157543391188,0.09281485818371064,0.13516881406940656,0.037142857142857144,0.11651242458329072,0.15112994350282485,0.1454786129568106,0.053322867608581896,0.09869491274770777,0.24228307923960096,0.10268737672583826,0.10710941680042803,0.07365419390735846,0.20319264069264067,0.10618884540117417,0.09226190476190475,0.18955265421790396,0.13834672166739037,0.20123007623007624,0.0531146685227075,0.178654775795966,0.18868580399192642,0.2591991341991342
6,0.16653831343858297,0.14632438739789966,0.2084165834165834,0.1620347282041982,0.11875344732487589,0.20884724559772916,0.13869891576313595,0.06718003186404674,0.06809679682020107,0.14057607632093932,0.12300432396474306,0.17056140350877194,0.22098404579222994,0.2645408163265306,0.2564102564102564,0.1956674473067916,0.10528083028083028,0.11287952987267386,0.03865546218487395,0.12583217753120668,0.13626023657870792,0.13274888971132495,0.05946428571428572,0.09359405825693397,0.24836128783497202,0.10333358109112532,0.17836899942163098,0.07402215056778354,0.2048964548964549,0.21209258384506377,0.07607392607392607,0.18822289621138127,0.12673805786050685,0.21053895667211067,0.03686380212462344,0.180524260177257,0.16696678671468587,0.17857142857142858
