cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-2,0.015975670785695038,0.009739438401214268,0.005976424037589647,0.01166285479709125,0.006407322654462242,0.01326530612244898,0.012434336081216676,0.0024449877750611247,0.009420697412823397,0.014035087719298246,0.011765930862140775,0.007515991471215352,0.012513715163484748,0.04535240173538046,0.049586776859504134,0.009746588693957114,0.0037174721189591076,0.0008022462896109105,0.007471980074719801,0.00846998022076182,0.009182355112587672,0.010337752525252526,5.427702996092053e-05,0.0,0.01672375579286722,0.005505364201016375,0.0021347080498866212,0.013073979591836735,0.0013185991885543455,0.004319654427645789,0.0036707882534775887,0.02608082706766917,0.009004623996106109,0.0040232358003442345,0.024597041289467873,0.009939931350114416,0.006493506493506494,0.0111868029119081,0.003098387611357891,0.0024489795918367346,0.010038359215492173,0.008849557522123894
-1,0.02016096002621232,0.009847076566939075,0.005737234652897304,0.020506648594330584,0.0063419418110493625,0.01597885361846022,0.008889815468172002,0.0008726003490401396,0.0,0.007971586424625098,0.014250925626817087,0.014840443783598306,0.013048905026665152,0.033669393190032336,0.04296322489391796,0.012145748987854251,0.013028571428571428,0.0016776615104640584,0.005927370948379352,0.007117717302495129,0.006510099780968605,0.010037188363956645,0.005199306759098787,0.003861003861003861,0.017844136926438457,0.002843601895734597,0.0022321428571428575,0.00911551061102407,0.001986628247264869,0.005614035087719298,0.004879148629148629,0.016526610644257703,0.011852945748484377,0.002668183011110139,0.02487632355493838,0.0069688967136150234,0.00213857998289136,0.009584951805495612,0.003030412569886254,0.000900360144057623,0.012346224027311791,0.0
0,0.015469146238377007,0.006346311322861609,0.006315221302626844,0.01204841529785505,0.005965126950137657,0.015709014232999474,0.010642950867473393,0.0016549715344896067,0.018271141532347095,0.007223942208462332,0.015963105183955165,0.006622516556291391,0.010399459378285028,0.0331934376192293,0.024075255102040814,0.007920792079207921,0.005154639175257732,0.0012642225031605564,0.01937578550481776,0.0133210840606339,0.001975683890577508,0.008986209706822228,0.0015313935681470138,0.0038461538461538464,0.020939897698209718,0.006166652139806502,0.0023245002324500234,0.011523727137913988,0.0024137642155528096,0.00518308406395049,0.003947945606082761,0.019151138716356108,0.013841698841698842,0.0029815146094215863,0.024111003264801905,0.012491556301557735,0.006211180124223602,0.009541921886320227,0.0024477454344748145,0.002789061159105212,0.016083872573419613,0.0
1,0.01704923812135219,0.01334531876642235,0.0071588366890380315,0.009099416356785775,0.00420624573166946,0.01640912512546002,0.01233483401046814,0.005908419497784343,0.01348314606741573,0.008971047981514204,0.016711475009165342,0.007956374038977294,0.011316991385789442,0.032300119261978816,0.036036036036036036,0.012024048096192385,0.01510989010989011,0.002238224990268587,0.006449934268185803,0.013809328968903438,0.011312217194570135,0.008577709731872964,0.0015174506828528073,0.003205128205128205,0.010911424903722721,0.004673759301395978,0.004407155915382606,0.01644624330178999,0.003969449225473322,0.006255545696539485,0.005391757615246783,0.015185251157819737,0.013884802118581728,0.002306805074971165,0.02827299143956648,0.010871848739495798,0.010526315789473684,0.010730614910889242,0.003418408592216191,0.0016950920565378398,0.017300890004564126,0.0
2,0.08145350979114122,0.006364712847838958,0.0039022353545734843,0.010201420623882377,0.005520169851380042,0.015587808125226933,0.01482088908070781,0.0031645569620253164,0.0022624434389140274,0.00924925735889819,0.0066427694081668456,0.00852113987707208,0.013914289485095873,0.04079863159136487,0.02912621359223301,0.007345013477088948,0.011597938144329897,0.0003843197540353574,0.013319270015698588,0.01057393579331771,0.005091021289725393,0.009972877732024073,0.0015432098765432098,0.003424657534246575,0.02302924915284466,0.0075014153613889405,0.0019228856546099524,0.014864561088007194,0.0029738872797222897,0.007964017496079888,0.0036309181915155494,0.02232643899310566,0.01294381509921691,0.004998431864513094,0.03196686863026652,0.00680599037000421,0.0063532401524777635,0.014136495719783239,0.006176890485401124,0.002337507791692639,0.013399510325739834,0.0
3,0.02793914246196404,0.008321707589285713,0.00730024780657692,0.009828179557386522,0.005454876053094127,0.014824893276953893,0.041935195130683854,0.0015885623510722795,0.010229276895943561,0.0073005209761447774,0.009503025264421967,0.00578650124988427,0.009922532050656623,0.03571428571428572,0.029358353510895885,0.011121856866537718,0.02556818181818182,0.0007908757908757909,0.0074784765796001755,0.013413304252998911,0.004540295119182747,0.013083653610270668,0.00027221254355400695,0.0035335689045936395,0.015600907029478459,0.0058956916099773245,0.003241557253902933,0.014832480223359703,0.0060955999115560105,0.006013894919669995,0.003875968992248062,0.02833990739152804,0.01262284574846888,0.0,0.027970383275261326,0.006825029394473839,0.004577647262048713,0.008348990847930176,0.001771726967549422,0.004539225762247345,0.013766092756320769,0.0
4,0.019779814580699533,0.009044862518089725,0.004256360078277887,0.014189014956162972,0.005949876795480497,0.0136256038182483,0.014680631868131868,0.0008223684210526315,0.01674641148325359,0.012692656391659111,0.007130039095045825,0.008414239482200648,0.010392368815307884,0.036017331648311966,0.037209302325581395,0.007662835249042145,0.02857142857142857,0.002405696689761355,0.013622466591054786,0.006943320929730896,0.009776987718164189,0.011059596252294022,0.0,0.0136986301369863,0.01455026455026455,0.004646142293974095,0.0018298261665141812,0.014471170057322692,0.00562733084709643,0.005183273554369697,0.006356440393379707,0.02085137085137085,0.020288002153287125,0.002818489289740699,0.028998103666245258,0.007187947588987322,0.005427408412483039,0.008103600649998575,0.0026238835743754817,0.003218806509945751,0.010266225856968852,0.0006265664160401002
5,0.019137997816824535,0.00957640859343332,0.003912713734142306,0.012927733907633406,0.005220883534136547,0.012364745033178566,0.013858615611192929,0.004113396331295164,0.010360512129380052,0.011021440616718862,0.007289516567083107,0.00944467382328654,0.011192084942084941,0.03378095934789424,0.03958894878706199,0.012243085511291552,0.005908419497784343,0.0023023791250959325,0.012802452767649982,0.0103359173126615,0.004620016611295682,0.008600603070175438,0.001443001443001443,0.0,0.020173436786855316,0.004831845853773864,0.004282553729456385,0.015172375812314131,0.008669887865803628,0.004214729370008873,0.005559540889526543,0.010016084222839595,0.00905624404194471,0.002499806216572359,0.03215260304072014,0.006596849266022198,0.0012903225806451613,0.00678909582769743,0.0018696289169272485,0.002472799208704253,0.013736263736263736,0.007633587786259542
6,0.018516078017923036,0.006499028182701653,0.005905899337226852,0.012848057751804745,0.00456145497213259,0.017426761366989986,0.011781877275873485,0.0007385524372230429,0.010845986984815618,0.0069084628670120895,0.006860309153675323,0.006075334143377886,0.010777742523994606,0.03995783209897684,0.027888446215139442,0.008358662613981764,0.015627933170640134,0.0015827922077922079,0.017247326664367024,0.008422929529486907,0.0020833333333333333,0.012984704759196442,0.004594180704441042,0.011182385575589461,0.014388047482603358,0.007299373932840069,0.0016331741610293143,0.016898823021272002,0.016592431892794746,0.014313430471967058,0.0034539759874717244,0.017084106369820655,0.03900663614383456,0.0027427317608337905,0.025782380129132414,0.007059642902367988,0.003081729145558933,0.010412280985847072,0.003174603174603175,0.003861003861003861,0.01330532212885154,0.0
7,0.021349166245578574,0.009730629539951574,0.0068325706763618125,0.011330125717833307,0.00683621223203736,0.01604526245112366,0.013330150818823225,0.0015082956259426848,0.010204081632653062,0.007923368022705771,0.009968009152348467,0.006210161229846268,0.010813907152819288,0.03977072310405644,0.050811688311688315,0.008983347940403156,0.004341534008683068,0.0013302160593356982,0.01742408803749745,0.013893398268398268,0.006750392464678179,0.01363716519387895,0.0014064697609001407,0.0029411764705882353,0.020871700429711478,0.0029703798739331736,0.004040542391453226,0.015902172772121338,0.02357790130977764,0.004331683168316832,0.004318678880471647,0.03072666375418669,0.009991194201720519,0.000959536820192558,0.03348605791602534,0.007653735740726751,0.0024449877750611247,0.009905069549739602,0.003385886200679274,0.0069453018891221146,0.01364752086401571,0.028169014084507043
8,0.019969372667746253,0.010182554034271938,0.004559963520291838,0.010853532351451908,0.0028582748471813447,0.01061931621963854,0.012555623753260702,0.0031044745484400654,0.006896551724137931,0.009182736455463728,0.007815012542612722,0.00547112462006079,0.014414287723245676,0.043009189902287415,0.01818181818181818,0.008156606851549755,0.0033311489733508087,0.001128668171557562,0.009287817187719052,0.013094363388264932,0.010232558139534883,0.008770554455833643,0.001541623843782117,0.0028653295128939827,0.01825065940610908,0.004621848739495798,0.003741736299875835,0.025088319717376906,0.021939408256068035,0.007292557741659538,0.0035094515029439103,0.019256605463502014,0.014486391571553995,0.005145797598627788,0.029818540165828463,0.007220072422607213,0.0036363636363636364,0.009647693717544037,0.002429066936682681,0.004718855553347904,0.01079153791300214,0.0
9,0.01878037579885959,0.010354073786909607,0.005819985733739706,0.012319582718048873,0.00617011899515205,0.015806169328374534,0.013789704979481048,0.0015071590052750565,0.01711309523809524,0.010147825033321218,0.00875110737568998,0.005025370804059328,0.011471353074406509,0.04990447430050536,0.03614457831325301,0.0144,0.005012531328320802,0.0007369196757553427,0.008078231292517007,0.00812996431449292,0.006329113924050633,0.011278913296479488,0.0,0.003979307600477517,0.018253042173695614,0.0092427119401318,0.0038222359650931076,0.016939252336448597,0.0026148693079072823,0.011110570845084121,0.004945054945054945,0.02098603236066934,0.018457527103060246,0.001853305424733996,0.031993681993681994,0.007578210196292257,0.007425742574257425,0.009819376026272579,0.0019366083532373637,0.005011949017525225,0.01299480697628846,0.0
10,0.020260319229391394,0.008478759314693331,0.004961704961704961,0.01039730206396873,0.006827284864668043,0.012008167132930242,0.01297813095373793,0.002259036144578313,0.011536030341340077,0.008504842615012108,0.009401513414354506,0.009245706479313037,0.013129794733568317,0.04222844372406002,0.04054054054054054,0.009772565742714996,0.0014925373134328358,0.0003992015968063872,0.008015180695593068,0.009433406049171629,0.003639672429481347,0.00917269642056733,0.003366294971596886,0.020333680917622523,0.015113407719041521,0.004524886877828055,0.003439084402028035,0.03003120124804992,0.002533783783783784,0.006745707277187245,0.003530229101366853,0.015714285714285715,0.015104390104390103,0.0030120481927710845,0.025280393989503196,0.007245287274230834,0.0022471910112359553,0.01296341167918585,0.0034104123803560247,0.0019445794846864365,0.013947287457696645,0.0
11,0.019687174139728886,0.009440400363967243,0.0024962556165751375,0.011243860008186656,0.00546448087431694,0.01373453318335208,0.015235376369144722,0.002119891649982334,0.008379888268156424,0.006730769230769231,0.011328933747412008,0.01050420168067227,0.010498180163785259,0.03503608051652108,0.039603960396039604,0.009708737864077669,0.0032397408207343412,0.0004170141784820684,0.005965463108320251,0.0050374298190892074,0.006771669341894061,0.011906559392592912,0.0,0.0031446540880503146,0.013049013367281986,0.005251627037824602,0.004485279589014029,0.03494623655913978,0.0016767824669957252,0.007414184755174154,0.0049390243902439025,0.005841121495327103,0.010969894916216985,0.0038585209003215433,0.029164386060937787,0.008891379378744001,0.008064516129032258,0.007745716525439546,0.004583527221963704,0.002136752136752137,0.012075737147546749,0.007722007722007721
